 ,Area,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
178,2607.848,90.445,29.736,35.223,93.87,2589,1444,32.202,30.755
179,3077.848,107.902,29.417,52.668,111.14,1843,1566,52.538,30.38
180,2659.6,91.488,29.98,35.399,95.007,2633,1539,35.443,30.801
181,2680.735,96.336,28.698,13.787,100.049,2292,1491,12.487,29.955
182,2598.366,94.408,28.385,52.7,97.294,1991,1676,52.055,29.689
183,1944.661,76.697,26.149,51.056,79.502,2104,1672,50.693,27.945
184,2489.719,82.374,31.171,50.892,86.946,2183,1735,50.679,32.583
185,2424.6,81.936,30.518,172.619,86.132,1726,1613,170.057,31.837
186,2145.617,79.647,27.78,15.804,82.975,2313,1686,15.112,28.864
187,2311.385,79.703,29.908,44.675,82.975,1543,1814,43.184,30.751
188,3536.652,130.084,28.038,61.689,133.328,1921,2021,62.85,30.009
189,2231.871,74.853,30.75,173.156,78.61,1778,1717,173.333,31.946
190,2720.721,96.083,29.203,64.904,100.566,2194,1971,65.158,30.162
191,3029.294,107.024,29.191,65.034,110.056,2265,2006,62.569,29.959
192,1947.86,82.455,24.363,45.053,84.921,1590,1906,47.42,26.254
193,2118.541,78.601,27.797,64.134,82.995,2075,1956,62.6,28.879
194,2123.339,78.007,28.072,145.537,81.844,737,1796,146.966,29.592
195,1731.939,72.916,24.496,170.265,75.738,1732,1827,170.496,25.369
196,2527.991,88.381,29.499,57.781,92.393,1406,2070,61.841,37.782
197,1296.327,56.088,23.835,147.814,58.995,682,1869,151.232,25.188
198,2409.292,86.188,28.829,171.365,90.742,1648,1895,170.783,30.547
199,2026.46,74.692,27.98,87.757,78.202,1187,2124,81.8,29.854
200,2171.778,75.825,29.538,87.929,79.81,1289,2136,84.41,31.189
201,2134.878,75.877,29.016,145.957,79.792,621,1928,147.454,30.186
202,2248.55,78.436,29.56,159.186,82.555,1512,1953,163.346,31.068
203,2699.471,93.26,29.85,89.041,97.719,1113,2229,88.414,31.002
204,3101.61,116.05,27.562,27.336,118.45,2131,2154,28.832,29.337
205,2318.353,81.599,29.301,8.856,86.041,1999,2044,8.13,31.645
206,2679.365,93.75,29.474,153.035,97.373,1765,1999,156.906,30.666
207,2436.025,84.566,29.708,158.662,91.249,1459,2033,165.192,31.6
208,2398.21,84.178,29.381,147.965,88.121,565,2013,145.944,30.447
209,2198.283,77.795,29.14,11.124,81.609,797,2105,12.194,30.492
210,2249.236,77.36,29.985,113.727,81.955,406,2032,118.045,32.105
211,2173.606,87.789,25.534,149.21,93.21,1710,2084,156.038,27.141
212,1939.52,74.977,26.678,161.101,78.092,1361,2096,159.212,29.436
213,2477.61,84.872,30.106,51.302,88.94,1943,2291,49.47,31.888
214,2497.488,86.7,29.688,150.972,90.264,516,2108,149.883,30.814
215,2434.997,85.744,29.287,17.075,89.202,147,2198,13.141,30.585
216,2624.413,93.549,28.932,10.509,97.086,750,2195,8.61,30.525
217,2960.976,111.798,27.314,72.746,115.329,1220,2461,71.724,28.57
218,2150.872,77.383,28.665,174.367,81.953,1572,2185,176.453,31.403
219,2469.727,86.87,29.32,15.384,89.794,167,2289,15.501,30.209
220,2384.158,84.767,29,74.659,88.492,911,2466,74.265,30.12
221,2523.307,90.629,28.714,71.921,94.356,1001,2484,67.017,29.769
222,3669.403,135.006,28.03,14.553,137.197,245,2365,15.577,30.663
223,2034.686,78.257,26.814,172.725,81.666,1580,2273,168.783,27.789
224,2494.518,85.762,29.99,0.217,89.57,636,2316,4.979,31.096
