Wavelength,n,k
1118.99939,1.513587,0
1122.388306,1.513569,0
1125.777954,1.513551,0
1129.168213,1.513532,0
1132.559326,1.513514,0
1135.950928,1.513496,0
1139.343384,1.513479,0
1142.73645,1.513461,0
1146.130127,1.513443,0
1149.524658,1.513426,0
1152.919678,1.513409,0
1156.315552,1.513392,0
1159.712036,1.513375,0
1163.109131,1.513358,0
1166.50708,1.513342,0
1169.90564,1.513325,0
1173.304932,1.513309,0
1176.704834,1.513293,0
1180.105347,1.513277,0
1183.506714,1.513261,0
1186.908691,1.513245,0
1190.311279,1.51323,0
1193.714722,1.513214,0
1197.118774,1.513199,0
1200.523438,1.513183,0
1203.928955,1.513168,0
1207.334961,1.513153,0
1210.741821,1.513139,0
1214.14917,1.513124,0
1217.557373,1.513109,0
1220.966187,1.513095,0
1224.375732,1.51308,0
1227.786011,1.513066,0
1231.196899,1.513052,0
1234.608521,1.513038,0
1238.020752,1.513024,0
1241.433716,1.51301,0
1244.847412,1.512996,0
1248.261719,1.512983,0
1251.676758,1.512969,0
1255.092529,1.512956,0
1258.508789,1.512943,0
1261.925903,1.51293,0
1265.343628,1.512916,0
1268.762085,1.512903,0
1272.181274,1.512891,0
1275.601074,1.512878,0
1279.021606,1.512865,0
1282.442749,1.512853,0
1285.864624,1.51284,0
1289.287354,1.512828,0
1292.710571,1.512816,0
1296.134521,1.512803,0
1299.559082,1.512791,0
1302.984375,1.512779,0
1306.4104,1.512767,0
1309.837158,1.512756,0
1313.264404,1.512744,0
1316.692627,1.512732,0
1320.121338,1.512721,0
1323.550781,1.512709,0
1326.980835,1.512698,0
1330.411743,1.512687,0
1333.84314,1.512676,0
1337.275391,1.512664,0
1340.708252,1.512653,0
1344.141846,1.512642,0
1347.57605,1.512632,0
1351.010986,1.512621,0
1354.446533,1.51261,0
1357.882935,1.512599,0
1361.319946,1.512589,0
1364.757568,1.512578,0
1368.196045,1.512568,0
1371.63501,1.512558,0
1375.074829,1.512547,0
1378.515259,1.512537,0
1381.956299,1.512527,0
1385.398193,1.512517,0
1388.840576,1.512507,0
1392.283813,1.512497,0
1395.727661,1.512488,0
1399.172241,1.512478,0
1402.617432,1.512468,0
1406.063354,1.512459,0
1409.51001,1.512449,0
1412.957275,1.51244,0
1416.405273,1.51243,0
1419.854004,1.512421,0
1423.303345,1.512412,0
1426.753418,1.512403,0
1430.204102,1.512393,0
1433.655518,1.512384,0
1437.107666,1.512375,0
1440.560425,1.512366,0
1444.013916,1.512357,0
1447.46814,1.512349,0
1450.923096,1.51234,0
1454.37854,1.512331,0
1457.834717,1.512323,0
1461.291748,1.512314,0
1464.749268,1.512305,0
1468.207642,1.512297,0
1471.666626,1.512289,0
1475.126221,1.51228,0
1478.58667,1.512272,0
1482.047729,1.512264,0
1485.509521,1.512256,0
1488.971924,1.512248,0
1492.435059,1.512239,0
1495.898804,1.512231,0
1499.363281,1.512223,0
1502.828491,1.512216,0
1506.294312,1.512208,0
1509.760986,1.5122,0
1513.228149,1.512192,0
1516.696045,1.512185,0
1520.164795,1.512177,0
1523.634033,1.512169,0
1527.104004,1.512162,0
1530.574707,1.512154,0
1534.046143,1.512147,0
1537.518188,1.512139,0
1540.990845,1.512132,0
1544.464233,1.512125,0
1547.938354,1.512118,0
1551.41333,1.51211,0
1554.888794,1.512103,0
1558.36499,1.512096,0
1561.841797,1.512089,0
1565.319336,1.512082,0
1568.797607,1.512075,0
1572.276611,1.512068,0
1575.756104,1.512061,0
1579.236572,1.512054,0
1582.717529,1.512048,0
1586.199219,1.512041,0
1589.681519,1.512034,0
1593.164673,1.512028,0
1596.648438,1.512021,0
1600.132813,1.512014,0
1603.61792,1.512008,0
1607.10376,1.512001,0
1610.590332,1.511995,0
1614.077515,1.511988,0
1617.56543,1.511982,0
1621.053955,1.511976,0
1624.543213,1.511969,0
1628.033203,1.511963,0
1631.523804,1.511957,0
1635.015137,1.511951,0
1638.507202,1.511945,0
1641.999756,1.511939,0
1645.493408,1.511932,0
1648.987305,1.511926,0
1652.482178,1.51192,0
1655.977539,1.511914,0
1659.473877,1.511909,0
1662.970459,1.511903,0
1666.46814,1.511897,0
1669.966431,1.511891,0
1673.46521,1.511885,0
1676.964844,1.51188,0
1680.465088,1.511874,0
1683.966064,1.511868,0
1687.467773,1.511863,0
