wav,cscat,cabs
664,8.29461e-16,1.64165e-15
665,8.57359e-16,1.68191e-15
666,8.86433e-16,1.72399e-15
667,9.16756e-16,1.76791e-15
668,9.48411e-16,1.81375e-15
669,9.81487e-16,1.86159e-15
670,1.01608e-15,1.91156e-15
671,1.05228e-15,1.96379e-15
672,1.09017e-15,2.0184e-15
673,1.12984e-15,2.07552e-15
674,1.17138e-15,2.13527e-15
675,1.21489e-15,2.19772e-15
676,1.26048e-15,2.26299e-15
677,1.30827e-15,2.33116e-15
678,1.35842e-15,2.40234e-15
679,1.41111e-15,2.4767e-15
680,1.46654e-15,2.55442e-15
681,1.52492e-15,2.63574e-15
682,1.58647e-15,2.72094e-15
683,1.65143e-15,2.81035e-15
684,1.72001e-15,2.90429e-15
685,1.79245e-15,3.00311e-15
686,1.86896e-15,3.10714e-15
687,1.94974e-15,3.21671e-15
688,2.03502e-15,3.33212e-15
689,2.12501e-15,3.45367e-15
690,2.21997e-15,3.58163e-15
691,2.32015e-15,3.71628e-15
692,2.42583e-15,3.85791e-15
693,2.5373e-15,4.0068e-15
694,2.65487e-15,4.16326e-15
695,2.77884e-15,4.32759e-15
696,2.90948e-15,4.50007e-15
697,3.04707e-15,4.68096e-15
698,3.19179e-15,4.87046e-15
699,3.34381e-15,5.06868e-15
700,3.50321e-15,5.27568e-15
701,3.67e-15,5.49134e-15
702,3.84409e-15,5.71545e-15
703,4.0253e-15,5.94762e-15
704,4.21332e-15,6.18728e-15
705,4.4077e-15,6.43364e-15
706,4.60781e-15,6.6857e-15
707,4.81284e-15,6.94216e-15
708,5.02173e-15,7.20144e-15
709,5.23314e-15,7.46162e-15
710,5.44547e-15,7.72041e-15
711,5.6568e-15,7.97518e-15
712,5.86489e-15,8.22292e-15
713,6.06724e-15,8.46032e-15
714,6.2611e-15,8.68382e-15
715,6.44358e-15,8.88969e-15
716,6.61169e-15,9.07417e-15
717,6.76247e-15,9.23358e-15
718,6.89312e-15,9.36451e-15
719,7.00108e-15,9.46397e-15
720,7.08421e-15,9.5295e-15
721,7.14082e-15,9.55934e-15
722,7.16982e-15,9.55249e-15
723,7.17069e-15,9.5088e-15
724,7.14358e-15,9.42894e-15
725,7.08927e-15,9.31441e-15
726,7.00909e-15,9.16742e-15
727,6.90491e-15,8.99085e-15
728,6.77901e-15,8.78803e-15
729,6.634e-15,8.56265e-15
730,6.47265e-15,8.31859e-15
731,6.29786e-15,8.05974e-15
732,6.11248e-15,7.78992e-15
733,5.91927e-15,7.51272e-15
734,5.72079e-15,7.23143e-15
735,5.51938e-15,6.94897e-15
736,5.31708e-15,6.6679e-15
737,5.11567e-15,6.39036e-15
738,4.91663e-15,6.11811e-15
739,4.72117e-15,5.85254e-15
740,4.53025e-15,5.59475e-15
741,4.34461e-15,5.34555e-15
742,4.1648e-15,5.1055e-15
743,3.99122e-15,4.87499e-15
744,3.82413e-15,4.65422e-15
745,3.6637e-15,4.44328e-15
746,3.50998e-15,4.24212e-15
747,3.36297e-15,4.05064e-15
748,3.22262e-15,3.86861e-15
749,3.0888e-15,3.69577e-15
750,2.96137e-15,3.53182e-15
751,2.84012e-15,3.37639e-15
752,2.72483e-15,3.2291e-15
753,2.61526e-15,3.08955e-15
754,2.51115e-15,2.95734e-15
755,2.41222e-15,2.83208e-15
756,2.3182e-15,2.71338e-15
757,2.22884e-15,2.60088e-15
758,2.14387e-15,2.49424e-15
759,2.06307e-15,2.39314e-15
760,1.98619e-15,2.29728e-15
761,1.91304e-15,2.20639e-15
762,1.84343e-15,2.1202e-15
763,1.77717e-15,2.03846e-15
764,1.71409e-15,1.96092e-15
765,1.65405e-15,1.88736e-15
766,1.59689e-15,1.81753e-15
767,1.54245e-15,1.75121e-15
768,1.49059e-15,1.68817e-15
769,1.44117e-15,1.62821e-15
770,1.39404e-15,1.57112e-15
771,1.34907e-15,1.51671e-15
772,1.30612e-15,1.46483e-15
773,1.26507e-15,1.41532e-15
774,1.22581e-15,1.36806e-15
775,1.18823e-15,1.32291e-15
776,1.15224e-15,1.2798e-15
777,1.11774e-15,1.23861e-15
778,1.08467e-15,1.19928e-15
779,1.05296e-15,1.16171e-15
780,1.02254e-15,1.12584e-15
781,9.93376e-16,1.09157e-15
782,9.65401e-16,1.05882e-15
783,9.38568e-16,1.0275e-15
784,9.12826e-16,9.97529e-16
785,8.88123e-16,9.68809e-16
786,8.64407e-16,9.41255e-16
787,8.41624e-16,9.14788e-16
788,8.1972e-16,8.89335e-16
789,7.98644e-16,8.64833e-16
790,7.78347e-16,8.4123e-16
791,7.58781e-16,8.18487e-16
792,7.39905e-16,7.96572e-16
793,7.21683e-16,7.75463e-16
794,7.04084e-16,7.5514e-16
795,6.8708e-16,7.3559e-16
796,6.70649e-16,7.16795e-16
797,6.54773e-16,6.98736e-16
798,6.39436e-16,6.81388e-16
799,6.24623e-16,6.64723e-16
800,6.10319e-16,6.48704e-16
801,5.96507e-16,6.33291e-16
802,5.83171e-16,6.18439e-16
803,5.70292e-16,6.04103e-16
804,5.57849e-16,5.9024e-16
805,5.45819e-16,5.7681e-16
806,5.34181e-16,5.63779e-16
807,5.2291e-16,5.5112e-16
808,5.11985e-16,5.38815e-16
809,5.01384e-16,5.26854e-16
810,4.91089e-16,5.15233e-16
811,4.81085e-16,5.03954e-16
812,4.71358e-16,4.93023e-16
813,4.61899e-16,4.82446e-16
814,4.52701e-16,4.72228e-16
815,4.43758e-16,4.62371e-16
816,4.35066e-16,4.52871e-16
817,4.26622e-16,4.4372e-16
818,4.18424e-16,4.349e-16
819,4.10468e-16,4.26391e-16
820,4.02748e-16,4.18166e-16
821,3.95259e-16,4.10198e-16
822,3.87991e-16,4.02457e-16
823,3.80936e-16,3.94915e-16
824,3.74082e-16,3.87548e-16
825,3.67418e-16,3.80336e-16
826,3.60931e-16,3.73267e-16
827,3.5461e-16,3.66333e-16
828,3.48444e-16,3.59537e-16
829,3.42424e-16,3.52882e-16
830,3.36542e-16,3.4638e-16
831,3.30793e-16,3.40043e-16
832,3.25171e-16,3.33886e-16
833,3.19676e-16,3.27918e-16
834,3.14307e-16,3.2215e-16
835,3.09063e-16,3.16586e-16
836,3.03945e-16,3.11225e-16
837,2.98955e-16,3.06058e-16
838,2.94093e-16,3.01074e-16
839,2.89357e-16,2.96256e-16
840,2.84746e-16,2.91583e-16
841,2.80258e-16,2.87032e-16
842,2.75888e-16,2.82582e-16
843,2.71629e-16,2.78211e-16
844,2.67477e-16,2.73904e-16
845,2.63424e-16,2.69646e-16
846,2.59462e-16,2.65433e-16
847,2.55586e-16,2.61262e-16
848,2.51787e-16,2.57139e-16
849,2.48063e-16,2.53071e-16
850,2.44407e-16,2.49072e-16
851,2.40817e-16,2.45156e-16
852,2.37292e-16,2.41339e-16
853,2.33831e-16,2.37634e-16
854,2.30435e-16,2.34053e-16
855,2.27106e-16,2.30601e-16
856,2.23844e-16,2.27283e-16
857,2.20653e-16,2.24095e-16
858,2.17533e-16,2.2103e-16
859,2.14486e-16,2.18074e-16
860,2.11512e-16,2.15213e-16
861,2.0861e-16,2.12428e-16
862,2.05777e-16,2.09701e-16
863,2.03012e-16,2.07014e-16
864,2.00311e-16,2.04349e-16
865,1.97668e-16,2.01696e-16
866,1.95081e-16,1.99045e-16
867,1.92543e-16,1.96392e-16
868,1.90052e-16,1.9374e-16
869,1.87601e-16,1.91093e-16
870,1.85189e-16,1.88463e-16
871,1.82812e-16,1.85861e-16
872,1.80469e-16,1.83303e-16
873,1.7816e-16,1.80802e-16
874,1.75884e-16,1.78374e-16
875,1.73644e-16,1.76029e-16
876,1.7144e-16,1.73777e-16
877,1.69274e-16,1.71621e-16
878,1.67148e-16,1.69562e-16
879,1.65065e-16,1.67594e-16
880,1.63025e-16,1.65709e-16
881,1.6103e-16,1.63896e-16
882,1.5908e-16,1.62138e-16
883,1.57173e-16,1.6042e-16
884,1.5531e-16,1.58726e-16
885,1.53487e-16,1.57041e-16
886,1.51703e-16,1.55351e-16
887,1.49954e-16,1.53647e-16
888,1.48236e-16,1.51922e-16
889,1.46547e-16,1.50175e-16
890,1.44883e-16,1.48407e-16
891,1.43242e-16,1.46625e-16
892,1.41621e-16,1.44839e-16
893,1.40018e-16,1.4306e-16
894,1.38433e-16,1.41302e-16
895,1.36866e-16,1.3958e-16
896,1.35316e-16,1.37907e-16
897,1.33786e-16,1.36294e-16
898,1.32275e-16,1.3475e-16
899,1.30787e-16,1.33281e-16
900,1.29322e-16,1.31889e-16
901,1.27884e-16,1.30573e-16
902,1.26472e-16,1.29325e-16
903,1.25089e-16,1.28138e-16
904,1.23734e-16,1.26999e-16
905,1.22409e-16,1.25895e-16
906,1.21113e-16,1.24811e-16
907,1.19845e-16,1.23734e-16
908,1.18602e-16,1.2265e-16
909,1.17384e-16,1.21548e-16
910,1.16187e-16,1.2042e-16
911,1.1501e-16,1.1926e-16
912,1.1385e-16,1.18068e-16
913,1.12704e-16,1.16845e-16
914,1.11571e-16,1.15598e-16
915,1.10449e-16,1.14334e-16
916,1.09336e-16,1.13064e-16
917,1.08232e-16,1.11801e-16
918,1.07137e-16,1.10558e-16
919,1.06052e-16,1.09347e-16
920,1.04976e-16,1.0818e-16
921,1.03911e-16,1.07067e-16
922,1.02859e-16,1.06013e-16
923,1.0182e-16,1.05024e-16
924,1.00798e-16,1.04099e-16
925,9.97925e-17,1.03236e-16
926,9.88055e-17,1.02429e-16
927,9.7838e-17,1.01669e-16
928,9.68903e-17,1.00945e-16
929,9.59626e-17,1.00245e-16
930,9.50545e-17,9.95567e-17
931,9.41653e-17,9.88666e-17
932,9.32938e-17,9.81634e-17
933,9.24385e-17,9.74371e-17
934,9.15976e-17,9.66801e-17
935,9.07693e-17,9.58876e-17
936,8.99517e-17,9.50577e-17
937,8.91429e-17,9.41918e-17
938,8.83414e-17,9.3294e-17
939,8.75458e-17,9.23715e-17
940,8.6755e-17,9.14332e-17
941,8.59685e-17,9.049e-17
942,8.51859e-17,8.95533e-17
943,8.44075e-17,8.8635e-17
944,8.36338e-17,8.77463e-17
945,8.28656e-17,8.6897e-17
946,8.21041e-17,8.60952e-17
947,8.13504e-17,8.53466e-17
948,8.06059e-17,8.46542e-17
949,7.98721e-17,8.40181e-17
950,7.915e-17,8.34358e-17
951,7.84408e-17,8.29018e-17
952,7.77452e-17,8.24086e-17
953,7.70638e-17,8.19466e-17
954,7.63966e-17,8.15051e-17
955,7.57435e-17,8.10727e-17
956,7.5104e-17,8.06378e-17
957,7.44772e-17,8.01899e-17
958,7.3862e-17,7.97195e-17
959,7.32572e-17,7.9219e-17
960,7.26612e-17,7.86829e-17
961,7.20727e-17,7.81083e-17
962,7.14901e-17,7.7495e-17
963,7.09121e-17,7.68453e-17
964,7.03375e-17,7.6164e-17
965,6.97654e-17,7.5458e-17
966,6.9195e-17,7.4736e-17
967,6.86261e-17,7.40078e-17
968,6.80585e-17,7.32841e-17
969,6.74924e-17,7.25755e-17
970,6.69284e-17,7.18919e-17
971,6.63672e-17,7.12424e-17
972,6.58097e-17,7.06344e-17
973,6.5257e-17,7.00733e-17
974,6.47102e-17,6.95624e-17
975,6.41704e-17,6.91023e-17
976,6.36387e-17,6.86914e-17
977,6.3116e-17,6.83259e-17
978,6.2603e-17,6.79995e-17
979,6.21003e-17,6.77046e-17
980,6.16082e-17,6.74319e-17
981,6.11265e-17,6.71716e-17
982,6.06551e-17,6.69132e-17
983,6.01935e-17,6.66467e-17
984,5.97409e-17,6.63629e-17
985,5.92963e-17,6.60536e-17
986,5.88588e-17,6.57124e-17
987,5.84272e-17,6.53346e-17
988,5.80002e-17,6.49179e-17
989,5.75768e-17,6.44622e-17
990,5.71559e-17,6.39694e-17
991,5.67366e-17,6.34437e-17
992,5.6318e-17,6.28912e-17
993,5.58997e-17,6.23194e-17
994,5.54813e-17,6.17369e-17
995,5.50627e-17,6.11532e-17
996,5.46441e-17,6.05778e-17
997,5.42259e-17,6.00201e-17
998,5.38085e-17,5.94887e-17
999,5.33928e-17,5.8991e-17
1000,5.29795e-17,5.85331e-17
