eres,linewidth,imax,width,length
1.765365738,0.079980578,4.65E-15,24.0089,76.5002
1.415964368,0.085075731,3.11E-15,18.0418,91.0517
1.704427484,0.07940112,4.46E-15,22.2108,78.2005
1.229610842,0.095038304,1.10E-15,14.0157,88.585
1.942934313,0.358136104,4.73E-14,82.5,149
1.878318844,0.453458701,6.37E-14,93,170
1.409941251,0.081411912,1.44E-15,15.3511,79.1598
1.39357627,0.084502355,2.43E-15,17.0111,88.6111
1.547632436,0.081118296,3.65E-15,19.0749,84.0065
1.572749169,0.083562273,5.20E-15,21.5,88
1.785046504,0.07908362,4.19E-15,23.9057,74.0433
1.489970355,0.084189132,4.03E-15,19.0431,90.0272
1.506721474,0.082261192,3.44E-15,18.5225,86.0272
1.357948773,0.083684178,1.41E-15,14.9534,83.05
1.410585309,0.087187143,4.01E-15,18.5045,96.5664
2.030455357,0.163911714,4.82E-15,40,83.5
1.804632242,0.192974266,3.85E-14,54,136
2.091690205,0.182663263,4.66E-16,29.4,57
1.919667655,0.436394565,5.82E-14,92,162
1.743522317,0.079806688,4.85E-15,23.0095,78.0043
2.11901057,0.233991152,5.03E-15,51.4,88
1.755241464,0.087964245,8.14E-15,26.6111,86.9111
1.422097148,0.08980693,5.60E-15,20.1096,102.108
1.388755671,0.085759768,2.91E-15,17.4959,92.1663
1.745849256,0.088357769,8.40E-15,26.6111,87.9111
1.756615564,0.32638974,6.12E-14,75,170.5
1.738943702,0.080056128,4.94E-15,22.9715,78.576
1.445448452,0.089218994,5.73E-15,20.4396,100.586
2.061318843,0.178713522,6.10E-15,45.6,88
1.355629632,0.084890354,1.85E-15,16.0332,87.3932
1.397851591,0.083719154,2.15E-15,16.3333,86.5933
1.814268128,0.418634507,6.58E-14,88,175
1.797107412,0.414246492,6.66E-14,87,177
1.439701701,0.086352874,4.19E-15,19.6325,94.0196
1.882330239,0.39726632,5.82E-14,87,163
1.98477003,0.16138942,1.17E-14,45.5,98
1.601403644,0.083094516,5.42E-15,21.7111,87.2111
1.692274144,0.077665732,3.99E-15,21.2781,76.711
2.084351475,0.165215137,5.56E-16,29,58
1.490012704,0.086863043,5.34E-15,20.4906,95.238
1.520638632,0.081546372,3.37E-15,18.5749,84.8065
1.395192443,0.084257644,2.35E-15,16.961,88.1253
1.733817716,0.080093858,5.06E-15,22.9715,79.176
1.829179193,0.326590893,5.60E-14,77,161
2.0848364,0.17997103,2.42E-15,39,75.2
2.083996607,0.196902647,5.36E-15,47,87.4
1.43799409,0.08630319,4.10E-15,18.8727,94.6394
1.665107614,0.083338745,6.21E-15,22.985,86.075
1.481039022,0.080035602,2.06E-15,16.8345,79.5435
1.394784799,0.086742955,3.50E-15,18.1476,95.11
1.953320005,0.137920118,8.65E-15,38.5,90.8
1.677690453,0.077199656,3.73E-15,20.711,76.711
2.093950163,0.161551535,6.59E-16,30.3,59.45
1.466206039,0.087543435,5.25E-15,20.1744,96.9268
2.000150588,0.130982743,1.41E-15,28,64.9
2.060895904,0.18569645,7.77E-15,48.3,92.3
1.400716322,0.084143154,2.40E-15,17.0157,87.885
2.115914822,0.224778902,4.75E-15,50,86.7
1.588738638,0.09268404,9.89E-15,25.123,100.415
1.694730428,0.090936522,9.81E-15,26.79,93.49
1.375353716,0.086433007,2.96E-15,17.4651,93.509
2.085824556,0.210389784,7.39E-15,51.5,93.1
1.710713998,0.078718489,4.42E-15,22.3095,77.5042
2.000902431,0.165209074,8.08E-15,42.7,92
1.997254169,0.144893549,1.81E-15,30,69.1
1.667606603,0.079662945,4.61E-15,21.9822,80.1825
1.434769937,0.089141055,5.50E-15,20.2496,100.576
1.65739278,0.080089203,4.76E-15,21.9822,81.1825
2.117309792,0.211195478,1.49E-15,39,71
1.450108264,0.085639747,4.00E-15,18.9727,93.1394
1.864738711,0.338409198,5.41E-14,79.5,157.7
2.121178032,0.218920926,3.77E-15,48,83
1.797956163,0.378635159,6.36E-14,83,172.5
2.088505758,0.231001506,8.34E-15,54.4,96.3
1.693302196,0.078491327,4.33E-15,21.9113,77.8577
1.624267292,0.079934559,4.30E-15,20.8779,81.6322
1.425399158,0.0852121,3.34E-15,18.1389,91.7605
2.175698138,0.272345916,1.99E-15,48.3,76
1.434504184,0.087065385,4.41E-15,19.0045,96.3664
1.455914431,0.083609316,3.16E-15,18.3254,88.0365
2.017328265,0.439712167,4.76E-14,93,148
1.704283074,0.086460782,7.77E-15,25.1441,88.1511
1.815433447,0.274192967,5.09E-14,68.5,154
2.032818497,0.154459769,9.34E-16,29,63
2.049478023,0.165103578,3.64E-15,39,79.8
1.41663176,0.085622253,3.37E-15,18.1389,92.4605
2.032236454,0.135324072,1.96E-15,32.13,69.24
2.115351423,0.239058741,6.82E-15,54.7,93
1.803405215,0.089793075,7.80E-15,28.23,84.97
1.380976509,0.087396305,3.54E-15,18.3045,96.3664
1.471888721,0.079072692,1.55E-15,16.037,75.8984
1.439374225,0.082125405,2.21E-15,16.7333,83.6933
1.518355526,0.076726924,1.42E-15,16.086,71.6312
1.648910262,0.088137897,8.32E-15,24.6222,92.7232
1.552576134,0.078052806,2.45E-15,18.0838,77.0405
1.484349557,0.07986094,2.05E-15,16.6758,79.1873
