wav,n,k
210.0833691,1.973686583,1.319025535
211.2961937,1.982302247,1.325427946
212.5160201,1.991350471,1.331932637
213.7428885,2.000836765,1.338519654
214.9768397,2.010765753,1.345169476
216.2179149,2.021141244,1.351863077
217.466154,2.031966309,1.358581986
218.7216,2.043243366,1.365308347
219.9842939,2.054974273,1.372024983
221.2542767,2.067160439,1.378715457
222.5315915,2.079802943,1.385364122
223.8162802,2.092902681,1.391956176
225.1083859,2.106460517,1.398477705
226.4079505,2.120477468,1.404915705
227.7150181,2.134954902,1.411258104
229.0296316,2.149894766,1.417493744
230.3518341,2.165299831,1.42361235
231.6816696,2.181173966,1.429604458
233.0191821,2.197522434,1.435461299
234.3644165,2.214352199,1.441174638
235.7174169,2.231672262,1.446736546
237.0782284,2.249493991,1.452139109
238.4468968,2.267831462,1.457374052
239.8234652,2.286701784,1.462432271
241.2079816,2.306125399,1.467303267
242.6004901,2.326126335,1.471974463
244.0010376,2.346732397,1.476430411
245.4096711,2.367975255,1.48065186
246.8264367,2.389890414,1.484614713
248.2513813,2.412517012,1.488288845
249.6845519,2.435897409,1.491636818
251.1259966,2.460076527,1.494612502
252.5757634,2.485100876,1.497159628
254.0338992,2.511017217,1.499210337
255.5004531,2.537870818,1.500683774
256.9754731,2.565703239,1.501484828
258.4590081,2.594549628,1.501503119
259.9511083,2.624435493,1.500612376
261.4518225,2.65537299,1.498670376
262.9612009,2.687356747,1.495519616
264.4792924,2.720359379,1.490988935
266.0061479,2.754326849,1.484896274
267.5418176,2.789173955,1.477052767
269.0863535,2.824780311,1.46726827
270.6398065,2.860987245,1.455358385
272.2022266,2.897596157,1.441152857
273.7736678,2.93436884,1.424505081
275.3541803,2.971030311,1.405302227
276.9438168,3.007274489,1.383475275
278.5426316,3.04277294,1.35900808
280.1506755,3.077186514,1.33194443
281.7680026,3.11017939,1.302392102
283.3946669,3.141434636,1.270523029
285.0307224,3.170670042,1.236569026
286.6762231,3.197652813,1.200812935
288.3312231,3.222211638,1.163575605
289.9957772,3.244244878,1.125199579
291.6699415,3.263723918,1.086030806
293.3537701,3.280691274,1.046399899
295.04732,3.2952535,1.006604526
296.750647,3.307569454,0.966894382
298.4638064,3.31783482,0.927459912
300.1868569,3.326264045,0.888425686
301.9198548,3.333070975,0.84984897
303.6628569,3.338449577,0.811723762
305.4159223,3.342556216,0.773990292
307.179107,3.345495026,0.7365496
308.952472,3.34730794,0.699282422
310.7360733,3.347970884,0.662071018
312.529973,3.347397253,0.624821934
314.3342279,3.34544914,0.58748711
316.1488992,3.341955695,0.550080434
317.9740468,3.336736741,0.512687041
319.8097307,3.329628593,0.475463545
321.656013,3.320508329,0.438628806
323.5129526,3.309312824,0.402446598
325.3806136,3.296049866,0.367203015
327.259056,3.280800175,0.33318233
329.1483438,3.263710979,0.300644969
331.048538,3.244983155,0.2698104
332.9597015,3.224854738,0.240846436
