eres,linewidth,imax,width,length,R2
1.7358171745624387,0.07886117458381413,1.7958792059788025e-15,21.0,64.0,0.9997647233666527
1.721057096175751,0.07946038212197168,1.9012619017168742e-15,21.0,65.0,0.9997853705258491
1.8613927876842915,0.08221406343445706,1.0205170302672726e-15,22.0,56.0,0.9994504894389231
1.8433454803573712,0.08035012409640618,1.1086510669978973e-15,22.0,57.0,0.9995328268531767
1.8355967268072022,0.08122269440966226,1.2410216056748327e-15,22.0,58.0,0.9995567134331852
1.8186153161605165,0.07910961812472062,1.3510265958009896e-15,22.0,59.0,0.9996218261505972
1.809572344496375,0.08042361274887763,1.4685868913932885e-15,22.0,60.0,0.9996547746561297
1.7935436242521157,0.07888127723065796,1.5855056126148161e-15,22.0,61.0,0.9996804243895732
1.7837083531211144,0.08005433922531056,1.6960316713424921e-15,22.0,62.0,0.9997134612896391
1.76834789032884,0.0793099148621579,1.8078843087866654e-15,22.0,63.0,0.9997232180257976
1.7580918326481991,0.08021928245635486,1.9153179761830004e-15,22.0,64.0,0.9997483650063493
1.743196064064009,0.08014925017452039,2.0168074729892e-15,22.0,65.0,0.9997518991181491
1.901274311809191,0.0972481284135706,8.256483246814695e-16,23.0,56.0,0.9986375139943819
1.886460590179569,0.09161197243733085,9.428880945879481e-16,23.0,57.0,0.9988381228663246
1.8777030772291612,0.08744911204275588,1.1143255083127872e-15,23.0,58.0,0.9993224360792743
1.8639173305495678,0.0843542765665962,1.250763686432604e-15,23.0,59.0,0.9994043029737707
1.8544133351010896,0.08374690787957773,1.4035176948204586e-15,23.0,60.0,0.9994820146175055
1.8408619754617876,0.08203375331761338,1.5482349098847565e-15,23.0,61.0,0.9995281615116866
1.8304940893796762,0.08303352035156329,1.6779229939147845e-15,23.0,62.0,0.999539277094685
1.8171460860365838,0.08168703582195465,1.8298954999774256e-15,23.0,63.0,0.9995905155576149
1.8061061598621635,0.08291564991006975,1.9484363982154704e-15,23.0,64.0,0.9996232909217284
1.793057611398337,0.08201200629613417,2.0992518561519653e-15,23.0,65.0,0.9996521749959685
1.8987224948654449,0.10700225214226103,7.413599755636261e-16,24.0,56.0,0.9957374628763063
1.8919328136499634,0.09694872728693421,9.338852098905268e-16,24.0,57.0,0.9980957139680515
1.87625731874497,0.09140647322374851,1.0561486597396856e-15,24.0,58.0,0.9985226268611935
1.868890597471234,0.08741524229282008,1.2530768374973171e-15,24.0,59.0,0.9991827067419737
1.8540242285283162,0.08573004854850202,1.3763884417433524e-15,24.0,60.0,0.9992887586748535
1.8456117394380136,0.08454345753250257,1.5594080550922188e-15,24.0,61.0,0.9994472867487862
1.8309014338049303,0.08397821717711455,1.6851408324801259e-15,24.0,62.0,0.9994936465799367
1.821618081258544,0.08371225506235778,1.8557671570265575e-15,24.0,63.0,0.9995635498427081
1.807183282246818,0.08341828994734925,1.9857514157660405e-15,24.0,64.0,0.9995949532423818
1.7974056708332622,0.08331580235318876,2.1493538023558655e-15,24.0,65.0,0.9996423649364986
1.665357938795656,0.08878992205832219,3.4773549025202164e-15,24.0,76.0,0.9997229936147065
1.6326280239650364,0.09086090629238053,3.7693588430768135e-15,24.0,79.0,0.9997024356911985
1.5980638438622166,0.09314117378949799,4.034633788588975e-15,24.0,82.0,0.9996668445890903
1.5668584474781302,0.09528890769466125,4.2784578752539644e-15,24.0,85.0,0.9996227599253155
1.5342531887895619,0.0974439002520468,4.512591480948109e-15,24.0,88.0,0.9995735748005136
1.5047429516353352,0.0993980484030615,4.729144512212256e-15,24.0,91.0,0.999524183100136
1.4741078659696345,0.10133331587321402,4.94420313926601e-15,24.0,94.0,0.9994784867588624
1.4463351595811509,0.10306956754894159,5.144623793846352e-15,24.0,97.0,0.9994434454429192
1.417609526425974,0.10482181258732932,5.3477716256307284e-15,24.0,100.0,0.9994244306603798
1.391523627192193,0.10645539458311182,5.537128987735817e-15,24.0,103.0,0.9994248761969259
1.364580060911333,0.10825393463500219,5.730034658680563e-15,24.0,106.0,0.9994555881182707
1.3400269974142969,0.11015587607464394,5.9076971451938135e-15,24.0,109.0,0.9995095683186902
1.3145563675502914,0.1126734182383193,6.086605149862193e-15,24.0,112.0,0.999592449642237
1.29096068793249,0.11591190796401414,6.250845160028278e-15,24.0,115.0,0.9996751043015474
