Wavelength,n,k
872.192017,1.906765,0.005677
873.753906,1.906131,0.005699
875.315613,1.905497,0.005721
876.877258,1.904862,0.005743
878.438782,1.904227,0.005765
880.000183,1.903592,0.005788
881.561401,1.902956,0.00581
883.122559,1.902319,0.005833
884.683472,1.901683,0.005856
886.244446,1.901045,0.005879
887.805176,1.900408,0.005902
889.365723,1.89977,0.005926
890.926147,1.899131,0.005949
892.486511,1.898492,0.005973
894.046753,1.897852,0.005997
895.606812,1.897212,0.00602
897.166809,1.896572,0.006045
898.726685,1.895931,0.006069
900.286316,1.895289,0.006093
901.845886,1.894647,0.006118
903.405273,1.894005,0.006142
904.964539,1.893362,0.006167
906.523743,1.892718,0.006192
908.082703,1.892074,0.006217
909.641602,1.89143,0.006243
911.200378,1.890785,0.006268
912.758972,1.890139,0.006294
914.317505,1.889493,0.006319
915.875854,1.888846,0.006345
917.434082,1.888199,0.006371
918.992065,1.887551,0.006397
920.55011,1.886903,0.006424
922.10791,1.886254,0.00645
923.665527,1.885605,0.006477
925.223022,1.884955,0.006503
926.780457,1.884304,0.00653
928.337708,1.883653,0.006557
929.894836,1.883001,0.006584
931.451782,1.882349,0.006612
933.008606,1.881696,0.006639
934.565308,1.881042,0.006667
936.121887,1.880388,0.006694
937.678223,1.879733,0.006722
939.234558,1.879078,0.00675
940.790649,1.878422,0.006778
942.34668,1.877766,0.006807
943.902527,1.877108,0.006835
945.458191,1.876451,0.006864
947.013794,1.875792,0.006893
948.569153,1.875133,0.006921
950.12439,1.874474,0.00695
951.679565,1.873813,0.00698
953.234558,1.873152,0.007009
954.789368,1.872491,0.007038
956.344055,1.871828,0.007068
957.898621,1.871166,0.007098
959.453003,1.870502,0.007128
961.007324,1.869838,0.007158
962.561401,1.869173,0.007188
964.115356,1.868508,0.007218
965.669128,1.867841,0.007249
967.222839,1.867174,0.00728
968.776367,1.866507,0.00731
970.329773,1.865839,0.007341
971.882996,1.86517,0.007372
973.436035,1.8645,0.007404
974.988953,1.86383,0.007435
976.541809,1.863159,0.007467
978.09436,1.862487,0.007498
979.646851,1.861815,0.00753
981.199219,1.861142,0.007562
982.751343,1.860468,0.007594
984.303406,1.859794,0.007626
985.855286,1.859118,0.007659
987.406921,1.858442,0.007691
988.958496,1.857766,0.007724
990.509949,1.857088,0.007757
992.061218,1.85641,0.00779
993.612305,1.855732,0.007823
995.163269,1.855052,0.007856
996.71405,1.854372,0.00789
998.264771,1.853691,0.007924
1010.914917,1.848105,0.008203
1014.281921,1.846609,0.00828
1017.649597,1.845108,0.008357
1021.018066,1.843603,0.008434
1024.387085,1.842094,0.008513
1027.756836,1.840581,0.008592
1031.127319,1.839063,0.008672
1034.498413,1.837541,0.008753
1037.870239,1.836014,0.008834
1041.242798,1.834482,0.008916
1044.615967,1.832946,0.008999
1047.989746,1.831406,0.009083
1051.36438,1.829861,0.009168
1054.739502,1.828311,0.009253
1058.115479,1.826756,0.009339
1061.492065,1.825197,0.009426
1064.869385,1.823633,0.009514
1068.247314,1.822064,0.009602
1071.626099,1.820491,0.009692
1075.005371,1.818912,0.009782
1078.385498,1.817329,0.009873
1081.766235,1.81574,0.009964
1085.147583,1.814147,0.010057
1088.529663,1.812549,0.01015
1091.912476,1.810946,0.010244
1095.295898,1.809337,0.010339
1098.680054,1.807724,0.010435
1102.064941,1.806105,0.010532
1105.450439,1.804482,0.010629
1108.83667,1.802853,0.010728
1112.223511,1.801219,0.010827
1115.611084,1.799579,0.010927
1118.99939,1.797935,0.011028
1122.388306,1.796285,0.01113
1125.777954,1.79463,0.011232
1129.168213,1.792969,0.011336
1132.559326,1.791303,0.01144
1135.950928,1.789631,0.011545
1139.343384,1.787955,0.011652
1142.73645,1.786272,0.011759
1146.130127,1.784584,0.011867
1149.524658,1.782891,0.011975
1152.919678,1.781192,0.012085
1156.315552,1.779487,0.012196
1159.712036,1.777777,0.012307
1163.109131,1.776061,0.01242
1166.50708,1.774339,0.012533
1169.90564,1.772612,0.012648
1173.304932,1.770879,0.012763
1176.704834,1.76914,0.012879
1180.105347,1.767395,0.012996
1183.506714,1.765644,0.013115
1186.908691,1.763888,0.013234
1190.311279,1.762125,0.013354
1193.714722,1.760357,0.013475
1197.118774,1.758583,0.013597
1200.523438,1.756802,0.01372
1203.928955,1.755016,0.013844
1207.334961,1.753223,0.013969
1210.741821,1.751425,0.014095
1214.14917,1.74962,0.014222
1217.557373,1.747809,0.01435
1220.966187,1.745992,0.014479
1224.375732,1.744169,0.014609
1227.786011,1.742339,0.01474
1231.196899,1.740503,0.014872
1234.608521,1.738661,0.015006
1238.020752,1.736813,0.01514
1241.433716,1.734958,0.015275
1244.847412,1.733097,0.015412
1248.261719,1.731229,0.015549
1251.676758,1.729355,0.015688
1255.092529,1.727474,0.015827
1258.508789,1.725587,0.015968
1261.925903,1.723693,0.01611
1265.343628,1.721792,0.016253
1268.762085,1.719885,0.016397
1272.181274,1.717972,0.016542
1275.601074,1.716051,0.016689
1279.021606,1.714124,0.016836
1282.442749,1.71219,0.016985
1285.864624,1.71025,0.017135
1289.287354,1.708302,0.017286
1292.710571,1.706348,0.017438
1296.134521,1.704386,0.017591
1299.559082,1.702418,0.017746
1302.984375,1.700443,0.017902
1306.4104,1.698461,0.018059
1309.837158,1.696472,0.018217
1313.264404,1.694476,0.018376
1316.692627,1.692472,0.018537
1320.121338,1.690462,0.018699
1323.550781,1.688444,0.018862
1326.980835,1.686419,0.019027
1330.411743,1.684387,0.019192
1333.84314,1.682348,0.019359
1337.275391,1.680302,0.019527
1340.708252,1.678248,0.019697
1344.141846,1.676186,0.019868
1347.57605,1.674118,0.02004
1351.010986,1.672042,0.020214
1354.446533,1.669958,0.020388
1357.882935,1.667867,0.020565
1361.319946,1.665768,0.020742
1364.757568,1.663662,0.020921
1368.196045,1.661548,0.021101
1371.63501,1.659427,0.021283
1375.074829,1.657297,0.021466
1378.515259,1.655161,0.021651
1381.956299,1.653016,0.021837
1385.398193,1.650863,0.022024
1388.840576,1.648703,0.022213
1392.283813,1.646535,0.022403
1395.727661,1.644359,0.022595
1399.172241,1.642175,0.022788
1402.617432,1.639983,0.022983
1406.063354,1.637783,0.023179
1409.51001,1.635574,0.023377
1412.957275,1.633358,0.023576
1416.405273,1.631134,0.023777
1419.854004,1.628901,0.023979
1423.303345,1.62666,0.024183
1426.753418,1.624411,0.024388
1430.204102,1.622154,0.024595
1433.655518,1.619888,0.024804
1437.107666,1.617614,0.025014
1440.560425,1.615331,0.025226
1444.013916,1.61304,0.025439
1447.46814,1.61074,0.025655
1450.923096,1.608432,0.025871
1454.37854,1.606115,0.02609
1457.834717,1.60379,0.02631
1461.291748,1.601456,0.026532
1464.749268,1.599113,0.026755
1468.207642,1.596761,0.026981
1471.666626,1.594401,0.027208
1475.126221,1.592032,0.027437
1478.58667,1.589653,0.027667
1482.047729,1.587266,0.0279
1485.509521,1.58487,0.028134
1488.971924,1.582465,0.02837
1492.435059,1.58005,0.028608
1495.898804,1.577627,0.028848
1499.363281,1.575194,0.029089
1502.828491,1.572752,0.029333
1506.294312,1.570301,0.029578
1509.760986,1.56784,0.029825
1513.228149,1.56537,0.030075
1516.696045,1.562891,0.030326
1520.164795,1.560402,0.030579
1523.634033,1.557904,0.030834
1527.104004,1.555396,0.031091
1530.574707,1.552878,0.031351
1534.046143,1.550351,0.031612
1537.518188,1.547814,0.031875
1540.990845,1.545267,0.032141
1544.464233,1.54271,0.032408
1547.938354,1.540143,0.032678
1551.41333,1.537567,0.03295
1554.888794,1.53498,0.033223
1558.36499,1.532383,0.0335
1561.841797,1.529777,0.033778
1565.319336,1.52716,0.034058
1568.797607,1.524532,0.034341
1572.276611,1.521895,0.034626
1575.756104,1.519247,0.034914
1579.236572,1.516589,0.035203
1582.717529,1.51392,0.035495
1586.199219,1.511241,0.035789
1589.681519,1.508551,0.036086
1593.164673,1.505851,0.036385
1596.648438,1.503139,0.036687
1600.132813,1.500417,0.036991
1603.61792,1.497685,0.037297
1607.10376,1.494941,0.037606
1610.590332,1.492186,0.037917
1614.077515,1.489421,0.038231
1617.56543,1.486644,0.038548
1621.053955,1.483856,0.038867
1624.543213,1.481057,0.039189
1628.033203,1.478247,0.039513
1631.523804,1.475425,0.03984
1635.015137,1.472592,0.04017
1638.507202,1.469747,0.040502
1641.999756,1.466891,0.040838
1645.493408,1.464023,0.041176
1648.987305,1.461144,0.041516
1652.482178,1.458252,0.04186
1655.977539,1.455349,0.042207
1659.473877,1.452434,0.042556
1662.970459,1.449507,0.042909
1666.46814,1.446568,0.043264
1669.966431,1.443617,0.043623
1673.46521,1.440653,0.043984
1676.964844,1.437677,0.044348
1680.465088,1.434689,0.044716
1683.966064,1.431689,0.045087
1687.467773,1.428675,0.045461
1687.467773,1.428675,0.045461
