eres,linewidth,imax,width,length,corrcoef
1.7100368673265587,0.1038760602778485,7.05142100981869e-15,28.87,87.63,0.9996497881237749
1.7025636801140107,0.09855750538412682,5.984659406810861e-15,27.1,84.58,0.9997047311834363
1.8950317369597134,0.13743606988177276,2.5495287818001156e-15,29.79,73.71,0.9983491275341091
1.7156634242578066,0.11147016262378165,8.658416337006075e-15,30.54,92.85,0.999572930029856
1.8101396424395444,0.12039454733530135,4.7812342689444984e-15,30.17,81.85,0.9994431883706466
1.7516780898772697,0.11645785824226847,8.169531794820873e-15,31.61,91.38,0.9995530271597545
1.648384733531783,0.1051766137930037,1.0195173739914172e-14,29.8,96.9,0.9995351452678799
1.6436783338570669,0.10359629769767016,9.96264533579628e-15,29.48,96.34,0.9995394451999178
1.6546317739169392,0.1071562188597561,1.04228205449244e-14,29.81,97.83,0.9995175663318272
1.710244795558221,0.10919216649252998,8.369461414867762e-15,29.91,91.98,0.9995949005317051
1.7028049589078869,0.10666338789459154,8.080570092746432e-15,29.32,91.09,0.9996156197563404
1.7094982755759474,0.09627941113324137,5.153514306063514e-15,26.19,81.56,0.9997370969000953
1.6780816129056266,0.09755733161107537,6.752941585764582e-15,26.93,87.36,0.9996788885517847
1.6915061483384644,0.1081420625057733,9.009143675132049e-15,30.13,93.54,0.9995763498627251
1.6214220646473505,0.10108128266705296,1.0234679979962535e-14,29.05,97.46,0.9995359191168753
1.5471242983017142,0.10465407682144046,1.4566409337963045e-14,29.9,109.66,0.9993272164710988
1.6551545283308213,0.10319856226283017,9.321044205341036e-15,29.03,94.64,0.9995671849081035
1.6624907069386348,0.10533232428824137,9.596744031499676e-15,29.61,95.41,0.9995650271624035
1.49956556014757,0.09020923787386867,1.1544097999024082e-14,26.0,104.34,0.9994667629656683
1.6809343035837543,0.10573261607097094,8.852223946262322e-15,29.55,93.17,0.999578939699847
1.6570117219466316,0.11423409986790745,1.225673925761849e-14,32.19,101.82,0.9994135901332829
1.7103194500209675,0.0917635124833282,3.805054543638413e-15,24.06,76.56,0.9997667969420203
1.6796950115145157,0.10342233366466219,8.230230120051359e-15,29.02,91.59,0.9996050457714554
1.719155952190478,0.10261701356176756,6.351759657142098e-15,27.95,85.84,0.9996896576602375
1.6315471375011317,0.10456888303865333,1.0782188723414168e-14,29.76,98.55,0.9995056742082
1.6504897151972808,0.09763061245357353,7.944217761477144e-15,27.44,90.9,0.9996302109202123
1.6709532138477268,0.10205443220574684,8.324354007388444e-15,28.85,91.5,0.9996093968133248
1.6674694413668634,0.10828863177227371,1.017035154728986e-14,30.45,96.93,0.999533096446856
1.611504093537303,0.1039598145872868,1.1517306238556965e-14,29.82,100.63,0.9994772107690705
1.7096429498325987,0.10239265114226921,6.6513135762697195e-15,28.25,86.79,0.99967276210646
1.818591794474696,0.11903998353427127,5.169447888888604e-15,30.84,82.61,0.9995220478015353
1.7744221725295581,0.11617376198423389,6.3924636935016525e-15,30.52,86.75,0.9995177860702076
1.5810106032680704,0.10067699568917153,1.1840527705385408e-14,28.76,102.48,0.9994622857362065
1.6806007473120517,0.10421171822886875,8.461404213201525e-15,29.1,92.16,0.9996109907708086
1.7791720329690595,0.10401534869228148,3.5450474212775464e-15,25.99,76.15,0.9996802517035219
1.7438801782012674,0.11223897058865923,7.520257150062688e-15,30.89,89.44,0.9995952127608335
1.6891296066039423,0.10298344516507738,7.732837762517084e-15,28.93,89.74,0.9996284180905098
1.7381531070280143,0.1126711607005757,7.863788965238982e-15,30.9,90.33,0.9995795354632648
1.7519212575091816,0.11272096764981458,7.033932870510611e-15,30.25,88.29,0.9996076018571239
1.6544964905241857,0.0995447348656309,8.345084775183e-15,28.12,91.99,0.999616665531039
1.5266826663212936,0.09856205608846853,1.3475911650827315e-14,28.74,107.33,0.9993843680038271
1.434976233248149,0.10164941525801321,1.8210799024156186e-14,29.21,121.88,0.9992573565178793
1.5058760685244605,0.09531068638168683,1.3178084131405393e-14,27.76,107.62,0.9994066506688017
1.798251722273182,0.10833998802698082,4.014034663826376e-15,27.7,77.96,0.9996749249603774
1.8436681784764266,0.12568303427142477,3.842448501149552e-15,30.19,78.89,0.9993625359298902
1.7584374757345107,0.1090627178389251,6.020660645099674e-15,28.96,84.87,0.9996487253095117
1.7436091729413328,0.10442845288397747,5.679039254521944e-15,28.34,83.34,0.9996887753481313
1.728442662251208,0.10115154514068708,5.49416459229232e-15,27.61,82.98,0.9996994388522473
1.6982566111876067,0.1111434333714682,9.463661175881862e-15,30.86,94.8,0.9995486753291423
1.802973998127976,0.12034084369618112,6.309047060602866e-15,32.07,86.1,0.9995064055709831
1.8029978983533983,0.1134556462029408,4.8314901517600795e-15,29.37,81.17,0.9996137475492428
